#nR_H,a_s,e_s,MA_s,tcol
0.250,0.03445273,0.53,7.57677,100000.00000
0.250,0.03445273,0.16,153.98290,100000.00000
0.250,0.03445273,0.11,66.18885,100000.00000
0.250,0.03445273,0.58,60.32139,20533.05135
0.250,0.03445273,0.07,177.41708,100000.00000
0.250,0.03445273,0.32,51.07966,100000.00000
0.250,0.03445273,0.10,117.35303,100000.00000
0.250,0.03445273,0.40,132.55996,100000.00000
0.250,0.03445273,0.08,24.75377,100000.00000
0.250,0.03445273,0.55,166.99541,100000.00000
0.250,0.03445273,0.02,89.13184,100000.00000
0.250,0.03445273,0.48,5.61296,100000.00000
0.250,0.03445273,0.33,174.50468,100000.00000
0.250,0.03445273,0.53,177.13502,100000.00000
0.250,0.03445273,0.14,6.46961,100000.00000
0.250,0.03445273,0.35,84.88371,100000.00000
0.250,0.03445273,0.10,98.77208,100000.00000
0.250,0.03445273,0.58,91.34419,97429.89701
0.250,0.03445273,0.27,157.79765,100000.00000
0.250,0.03445273,0.43,39.95499,100000.00000
0.250,0.03445273,0.32,106.84664,100000.00000
0.250,0.03445273,0.37,160.90067,100000.00000
0.250,0.03445273,0.22,67.36874,100000.00000
0.250,0.03445273,0.25,177.70970,100000.00000
0.250,0.03445273,0.11,130.04138,100000.00000
0.250,0.03445273,0.23,51.42818,100000.00000
0.250,0.03445273,0.00,149.83967,100000.00000
0.250,0.03445273,0.09,43.53341,100000.00000
0.250,0.03445273,0.57,101.83175,46745.32200
0.250,0.03445273,0.27,93.62943,100000.00000
0.250,0.03445273,0.22,67.72673,100000.00000
0.250,0.03445273,0.51,53.52282,100000.00000
0.250,0.03445273,0.30,157.24415,100000.00000
0.250,0.03445273,0.46,97.49416,100000.00000
0.250,0.03445273,0.11,103.84270,100000.00000
0.250,0.03445273,0.16,2.59083,100000.00000
0.250,0.03445273,0.32,15.64565,100000.00000
0.250,0.03445273,0.36,143.14812,100000.00000
0.250,0.03445273,0.50,131.80048,100000.00000
0.250,0.03445273,0.09,16.75850,100000.00000
0.250,0.03445273,0.40,9.85709,100000.00000
0.250,0.03445273,0.18,162.96312,100000.00000
0.250,0.03445273,0.36,133.40172,100000.00000
0.250,0.03445273,0.28,71.37770,100000.00000
0.250,0.03445273,0.47,108.09304,100000.00000
0.250,0.03445273,0.41,25.35426,100000.00000
0.250,0.03445273,0.57,158.55674,100000.00000
0.250,0.03445273,0.58,97.19737,14542.11798
0.250,0.03445273,0.39,101.72397,100000.00000
0.250,0.03445273,0.06,65.45333,100000.00000
0.250,0.03445273,0.08,40.76924,100000.00000
0.250,0.03445273,0.47,49.32994,100000.00000
0.250,0.03445273,0.11,116.18501,100000.00000
